Logit_class_0,Logit_class_1
-4.3164062,4.3671875
-5.1835938,5.2578125
-5.2421875,5.28125
-4.6445312,4.7304688
-4.640625,4.6796875
-2.1699219,2.2246094
-4.875,4.8828125
-3.7597656,3.8671875
-4.2382812,4.3359375
-5.4296875,5.4804688
-5.4570312,5.53125
-3.7851562,3.8417969
-5.03125,5.0507812
-3.2324219,3.3085938
-4.6757812,4.7265625
-4.78125,4.7421875
-4.4414062,4.6132812
-4.71875,4.8046875
-3.9667969,4.078125
-4.9453125,5.046875
-5.0429688,5.171875
-4.5507812,4.5976562
-3.6132812,3.6289062
-4.828125,4.875
-3.8085938,3.8632812
-4.3476562,4.375
-5.3867188,5.4570312
-5.59375,5.7109375
-4.40625,4.5351562
-4.6054688,4.7265625
-4.71875,4.8007812
-5.4960938,5.546875
-4.3867188,4.4882812
-4.6640625,4.8164062
-5.7460938,5.828125
-4.3203125,4.3828125
-5.4101562,5.484375
-4.6484375,4.734375
-4.3398438,4.3984375
-3.8671875,3.9570312
-3.6328125,3.7246094
-4.6796875,4.7226562
-4.9765625,5.0664062
-4.7578125,4.8320312
-4.0390625,4.0859375
-3.875,3.9414062
-4.703125,4.828125
-4.3867188,4.46875
-5.4140625,5.4375
-3.4960938,3.5351562
-4.3046875,4.3789062
-3.4472656,3.4882812
-4.78125,4.8398438
-4.6875,4.8476562
-4.8867188,5.0039062
-5.1367188,5.140625
-3.7714844,3.796875
-3.8535156,3.9375
-4.8515625,4.9257812
-4.7578125,4.859375
-5.578125,5.671875
-4.5273438,4.6914062
-4.2929688,4.4140625
-5.046875,5.1132812
-4.3476562,4.4492188
-3.7011719,3.9023438
-4.4453125,4.6054688
-4.4023438,4.5234375
-5.2148438,5.3125
-3.8847656,3.984375
-4.3359375,4.4492188
-4.2773438,4.3203125
-5.46875,5.5898438
-2.8496094,2.96875
-5.6523438,5.7304688
-4.4804688,4.53125
-4.1328125,4.2421875
-3.8398438,3.8554688
-4.2929688,4.453125
-4.7617188,4.7890625
-4.171875,4.2539062
-5.2929688,5.3085938
-5.6601562,5.7578125
-5.5507812,5.578125
-3.6757812,3.7675781
-4.3476562,4.4453125
-4.9023438,4.9765625
-5.0507812,5.1015625
-5.09375,5.1445312
-3.9257812,3.9765625
-3.8457031,3.8964844
-3.8476562,3.9707031
-5.203125,5.234375
-5.1445312,5.2773438
-5.4335938,5.5195312
-3.9238281,4.0273438
-3.1503906,3.2050781
-3.8828125,4.0078125
-5.0195312,5.0976562
-2.7109375,2.7089844
-5.0390625,5.09375
-3.453125,3.5019531
-4.8945312,5.0351562
-4.75,4.8203125
-5.4414062,5.5
-4.9882812,5.171875
-5.7890625,5.828125
-5.1523438,5.2304688
-4.171875,4.2148438
-4.9414062,5.0078125
-4.8242188,4.8984375
-5.1992188,5.3203125
-4.4414062,4.4960938
-5.3359375,5.4296875
